MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
M00001,East,Residential,2025-06-28,36.2,22.13,20,Active,7.05
M00002,West,Residential,2025-03-05,49.59,16.69,16,Active,6.65
M00003,Central,Commercial,2025-05-12,54.55,13.84,9,Active,8.14
M00004,West,Residential,2025-12-09,36.19,18.12,16,Active,6.13
M00005,West,Residential,2025-09-29,45.42,15.02,23,Active,6.58
M00006,South,Residential,2025-11-15,21.98,16.11,18,Active,6.15
M00007,Central,Residential,2025-11-28,24.63,8.67,17,Active,6.73
M00008,Central,Residential,2025-12-07,48.84,16.9,29,Active,6.5
M00009,Central,Residential,2025-04-19,36.94,9.83,21,Faulty,7.2
M00010,West,Residential,2025-09-30,34.74,14.41,23,Active,6.54
M00011,East,Commercial,2025-06-17,57.24,15.0,20,Active,8.8
M00012,Central,Commercial,2025-06-29,58.29,29.11,13,Active,9.05
M00013,West,Commercial,2025-02-27,51.92,26.11,26,Active,8.39
M00014,South,Residential,2025-03-20,24.16,6.68,21,Faulty,6.67
M00015,East,Residential,2025-03-02,36.79,13.61,16,Active,6.16
M00016,South,Residential,2025-05-01,45.28,30.16,13,Active,6.56
M00017,East,Residential,2025-07-26,45.95,22.11,19,Active,6.49
M00018,West,Residential,2025-02-03,32.02,14.96,20,Active,6.56
M00019,North,Commercial,2025-03-11,50.72,30.4,14,Faulty,8.14
M00020,East,Residential,2025-01-17,26.17,15.9,16,Active,6.52
M00021,South,Residential,2025-01-20,42.53,26.84,17,Active,7.13
M00022,West,Residential,2025-11-11,20.35,13.54,22,Active,7.22
M00023,East,Commercial,2025-03-10,61.83,22.64,19,Active,8.31
M00024,North,Residential,2025-08-03,22.37,6.33,26,Active,6.39
M00025,North,Commercial,2025-06-10,63.71,28.04,20,Faulty,8.01
M00026,Central,Residential,2025-04-12,42.77,28.98,23,Active,6.15
M00027,Central,Industrial,2025-07-25,98.55,28.48,19,Active,9.95
M00028,South,Industrial,2025-05-25,93.11,50.09,12,Active,10.39
M00029,East,Residential,2025-02-26,29.07,17.46,10,Active,6.38
M00030,East,Residential,2025-03-24,32.67,16.03,25,Active,6.1
M00031,Central,Residential,2025-09-26,24.36,9.2,19,Active,6.95
M00032,East,Residential,2025-07-06,33.68,13.92,19,Active,6.61
M00033,East,Commercial,2025-01-06,75.62,21.61,17,Active,8.67
M00034,North,Commercial,2025-12-19,90.46,35.85,16,Active,8.42
M00035,Central,Commercial,2025-12-16,54.03,14.71,17,Active,8.8
M00036,West,Commercial,2025-04-20,80.61,49.43,16,Active,9.16
